course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,restrictions,title
AAAS 110,110,Lecture,,3,AAAS,African & African Amer Studies,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas. Cross-list: RELI 111.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO AFRICAN RELIGIONS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO AFRICAN RELIGIONS
AAAS 157,157,Lecture,,3,AAAS,African & African Amer Studies,"Hip Hop culture has changed how life is discussed and conducted. However, one of the under-explored dimensions of Hip Hop culture involves its religious sensibilities. Using lectures, discussions, films, and video presentations, this course explores Hip Hop culture's religious dimensions through its musical language-rap music. Cross-list: RELI 157, Equivalency: RELI 157, RELI 311. Mutually Exclusive: Cannot register for AAAS 157 if student has credit for RELI 311.",Distribution Group I,Standard Letter,Taught in English,RELIGION AND HIP HOP CULTURE IN AMERICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RELIGION AND HIP HOP
AAAS 200,200,Lecture,,3,AAAS,African & African Amer Studies,"An exploration of the origins and development of African Studies and African American Studies. Through a focus on the articulation and resolution of field-changing debates, the course introduces students to methodologies and practices that have led to and that continue to lead to knowing Africa and African-descendent people with earnest regard for the complexity and subtlety that the subjects require.",Distribution Group I,Standard Letter,Taught in English,KNOWING BLACKNESS: INTRODUCTION TO AFRICAN AND AFRICAN AMERICAN STUDIES,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO AAAS
AAAS 204,204,Lecture,,3,AAAS,African & African Amer Studies,"This class examines the history of Black art in America since the early 1900s. What is Black Art? Who are the artists, curators, scholars, and theorists who have asked and answered this question over the decades? Is a Black aesthetic inherently revolutionary and interested in the political lives of black people and their liberation? Or is a Black aesthetic best exemplified by the manipulation of materials, visual composition, and saturation? Or both? We will engage theories of black art and aesthetics that emerged in the 1920s through today to take seriously the question: how does the visual life of blackness matter? In this class we will break through the traditional rhetoric of diversity and representation and discuss how artists over the decades have insisted instead on redistributions of power, radical and speculative material practices, and structural change. It is my priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities. Cross-list: HART 204.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO BLACK ART IN AMERICA: 1900S TO TODAY,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK ART IN AMERICA
AAAS 210,210,Lecture,,3,AAAS,African & African Amer Studies,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO AFRICAN RELIGIONS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO AFRICAN RELIGIONS
AAAS 211,211,Lecture,,3,AAAS,African & African Amer Studies,"This course introduces students to the modern art of Africa, drawing attention to its variants in the continent’s different local and regional geographies. Defined by art historian Clement Emeka Akpang (2016) as the intersection of art with political and social concerns, the era of modernism marked a phase of great experimentation in art characterised by the introduction of new ideas, new media, and a shift in the materiality and many other aspects of art. As such, African artists were part of it, yet as Partha Mitter (2008) argues, the discourse of modernism, is an ‘unmarked case’ that implicitly stands for ‘Western’ modernism. In the course, students will cover different aspects of African modernism discourses drawing from literature and artworks from at least each of the continent’s major regions. The main objective is to gain insights into Africa’s contribution to global art. Besides the few celebrated African modernists known in the West, by the end of the course students will have amassed considerable knowledge of more artists ‘on the other side of modernity’ as these will be highlighted throughout the course. Cross-list: HART 211.",Distribution Group I,Standard Letter,Taught in English,AFRICAN MODERNISM,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AFRICAN MODERNISM
AAAS 217,217,Seminar,,3,AAAS,African & African Amer Studies,"This course explores the intersections of religion, politics, and social justice during the period of history marked by the emergence and activities of the Black Lives Matter Movement. Cross-list: RELI 216.",Distribution Group I,Standard Letter,Taught in English,RELIGION AND BLACK LIVES MATTER,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RELIGION & BLACK LIVES MATTER
AAAS 223,223,Lecture,,3,AAAS,African & African Amer Studies,"This course explores how slavery, anti-colonial, anti-imperial, anti-racism, and anti-capitalist struggles had a profound impact on Africa and the world. These seismic conflicts resulted in significant psychological, spiritual, and physical traumas that are still keenly felt in Africa today. In this course, students will get a sample of some of these traumas that Africans encountered and the ideological painkillers they concocted to address them. Thus, students will become familiar with systems, ideologies, and terms such as slavery, apartheid, socialism and communism in Africa, Pan-Africanism, Black Consciousness, female suicide bombers, neo-colonialism, and the psychological encounter between the colonized and colonizer. Cross-list: HIST 223.",Distribution Group I,Standard Letter,Taught in English,FREEDOM AND STRUGGLE IN MODERN AFRICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FREEDOM & STRUGGLE MOD AFRICA
AAAS 225,225,Seminar,,3,AAAS,African & African Amer Studies,"The arrival of the Portuguese in Africa in the 15th century marked the beginning of European oceanic expansion, a movement that profoundly shaped the modern world. This expansion introduced dichotomous dynamics of center and periphery, along with new global relations rooted in racial hierarchies, often resulting in violent consequences for African peoples. Despite these oppressive systems, resistant voices have emerged and continue to grow as African people strive to redefine Blackness. This seminar covers key topics such as the Transatlantic Slave Trade, the development of African diasporic communities, colonialism in Africa, and Afro-Atlantic intellectual and ideological exchanges. We will also explore contemporary representations and mobilizations of Black culture and identity. Through critical readings and engaging discussions of prose, poetry, film, and music, we will analyze imperialism's history and enduring legacies.",Distribution Group I,Standard Letter,Taught in English,"DYNAMICS OF EMPIRE: PORTUGUESE, AFRICAN, AND BRAZILIAN INTERCONNECTIONS",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DYNAMICS OF EMPIRE
AAAS 238,238,"Independent Study, Internship/Practicum, Laboratory, Lecture, Lecture/Laboratory, Seminar",,1 TO 4,AAAS,African & African Amer Studies,Topics and credit hours may vary each semester. Contact department for current semester’s topic(s).  Repeatable for Credit.,,Standard Letter,Taught in English,SPECIAL TOPICS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
AAAS 245,245,Lecture,,3,AAAS,African & African Amer Studies,"Broadly, this course is at once a colonial history of Latin America and the Caribbean that concerns itself with the role of Africans and the making of Blackness across the region.  The course treats Africa, Iberia, and the Americas in dialogue, running from the early fifteenth century through the
Haitian Revolution.  This CAAAS course addresses slavery, freedom and the question of Black life vis-a-vis indigeneity in the early Americas as a central theme and point of departure. Cross-list: HIST 245.",,Standard Letter,Taught in English,"RACE, RESISTANCE, AND REVOLUTION: BLACKS AND BLACKNESS IN THE MAKING OF LATIN AMERICA AND THE CARIBB",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"RACE, RESISTANCE, & REVOLUTION"
AAAS 248,248,Lecture,,3,AAAS,African & African Amer Studies,"Students will learn how Africans and African states negotiated a dangerous 20th-century and their vital roles in shaping the Global Cold War. Through archival work, videos, and primary sources, we will explore the most exciting and cutting-edge research on Africa and the Cold War. Cross-list: HIST 248.",Distribution Group I,Standard Letter,Taught in English,AFRICA AND THE GLOBAL COLD WAR,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,AFRICA AND THE GLOBAL COLD WAR
AAAS 266,266,Seminar,,3,AAAS,African & African Amer Studies,"This course considers the impact and development of graphic novels in the African American literary tradition. It traces the origin story of the genre, examines its evolving relationship to African American biography, history, and fiction, and considers its popularity in contemporary media. Cross-list: ENGL 266.",Distribution Group I,Standard Letter,Taught in English,GRAPHIC NOVELS IN THE AFRICAN AMERICAN LITERARY TRADITION,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK COMICS
AAAS 267,267,Lecture,,3,AAAS,African & African Amer Studies,"An introduction to the history and traditions of African American literature. Course will examine the poetry, essays, and fiction by people of African descent from the 18th to the 21st centuries. Cross-list: ENGL 267.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO AFRICAN AMERICAN LITERATURE,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO AFRICAN AMER LIT
AAAS 270,270,Lecture,,3,AAAS,African & African Amer Studies,"Much of what has historically taken place within Black communities has been shaped by Black Christian churches. These churches are resources for those interested in understanding religious expression and activism within the Black community.  This course provides an introduction into the history, thought, and worship of the major Black denominations. Cross-list: RELI 270.",Distribution Group I,Standard Letter,Taught in English,INTRODUCTION TO THE BLACK CHURCH IN THE UNITED STATES,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO BLACK CHURCH IN THE US
AAAS 279,279,Lecture,,3,AAAS,African & African Amer Studies,"This course examines how black science and speculative fiction worries the division between reality and fantasy; challenges the fictions embedded in our national histories; and underscores the social, economic, and political inequities short-circuiting the lives of brown and black peoples around the world.  Focusing on works from Octavia Butler to Victor Levalle, from George Schuyler to Mat Johnson, from John Williams to Colson Whitehead among others, the course engages the ways in which these authors represent the monstrous and grotesque; pandemics, environmental and technological degradation and catastrophe; urbanization, gentrification, and immigration; and (biological/technological) warfare, in order to recalibrate our understanding of the central role race plays in determining both access to, and allocation of, necessary resources.  We will track the histories and afterlives of slavery and colonialism that continue to transfigure our society, while also studying varied blueprints for, and critiques of, alternative, more egalitarian societies imagined by these artists. Cross-list: ENGL 279.",Distribution Group I,Standard Letter,Taught in English,BLACK SCI-FI & SPECULATIVE FICTIONS,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK SCI-FI
AAAS 300,300,Seminar,http://humanities.rice.edu/center-for-african-and-african-american-studies,3,AAAS,African & African Amer Studies,"In this course, students will be reading, reflecting, and dissecting short stories, novels, television scripts, and other works of fiction crafted by artists across the Black diaspora. Students will thoroughly discuss process and intent, with an extensive focus on craft.",Distribution Group I,Standard Letter,Taught in English,CONTEMPORARY BLACK FICTION,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,WRITING BLACK LIVES
AAAS 306,306,Seminar,,3,AAAS,African & African Amer Studies,"This course asks “who and what are black contemporary artists citing and why does it matter?” This class will tackle key readings in the field of black studies through investigating the theoretical attentions of contemporary artists. Why are the readings of Zora Neale Hurston, Frantz Fanon, Hortense Spillers, W.E.B. Du Bois, Toni Morrison, Saidiya Hartman, Claudia Rankine, and Fred Moten, to name a few, necessary for the critical analysis of black visual and performance art? This art history course will expose students to the interdisciplinary field of black studies, feminist studies, visual culture, queer theory, disabilities studies, and performance studies. The course ends with the creative development of an analytical essay on an art object of the student’s choice. This assignment is methodically organized over the semester to encourage each student to develop an argument that arises from their own close reading, application of theory, and lived experiences. It is priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities. Cross-list: HART 306.",,Standard Letter,Taught in English,WHAT ARTISTS CITE: CORE TEACHINGS IN BLACK STUDIES,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK CITATIONAL PRACTICES
AAAS 308,308,Seminar,,3,AAAS,African & African Amer Studies,"From Beyoncè’s ""Lemonade"" to Kendrick Lamar’s “They Not Like Us,” black visual and sonic culture have defined and shaped the American cultural landscape. But how do we read and interrogate the visuals that have accompanied these sonic revolutions? From music videos to performance art, “Black Visual Culture: From Lemonade to They Not Like Us” examines the Black visual culture of the 2000s, placing contemporary modes of visual representation in dialogue with sculpture, painting and other “fine arts.” It is our priority to make this course joyous, safe, and accessible to students of all genders, sexualities, and disabilities. Cross-list: HART 308.",Distribution Group I,Standard Letter,Taught in English,"BLACK VISUAL CULTURE: FROM ""LEMONADE"" TO ""THEY NOT LIKE US""",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK VISUAL CULTURE
AAAS 311,311,Seminar,,3,AAAS,African & African Amer Studies,"How has disability been represented in different realms of our social lives? What do these representations say about our “ideal” or desired future? How are representations of disabilities shaping and are shaped by the concept of futurity? How are race, sexuality, gender, and disability intertwined in these visions of the future and its representations? Drawing upon artistic, mediatic, and medical representations of disability we will examine the ways disability, in its intersections with blackness, queerness and transness, are crucial for thinking about human difference and to disturbing normative arrangements. Students will be encouraged to think critically through an interdisciplinary approach that relies on the contributions of different fields, including Disability Studies, Crip Studies, Black Studies, Medical Anthropology, and Queer and Trans Studies. Cross-list: HART 311.",Distribution Group I,Standard Letter,Taught in English,REPRESENTATIONS OF DISABILITY,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,REPRESENTATIONS OF DISABILITY
AAAS 312,312,Seminar,,3,AAAS,African & African Amer Studies,"This course examines the carnal violence and brutality associated with sex and gender in folktales and fairytales from the African diaspora to the Americas. In so doing, this course will also put European and African folklore in conversation with the New World’s oral traditions. Taught in English. Cross-list: FREN 308.",Distribution Group I,Standard Letter,Taught in English,"BEAUTY AND THE BEAST(S): SEX, VIOLENCE, AND FOLKTALES IN THE AFRICAN DIASPORA",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BEAUTY AND THE BEAST(S)
AAAS 317,317,Seminar,,3,AAAS,African & African Amer Studies,"There are some two million people locked up in local jails, state prisons, and federal prisons across the United States. Toward the beginning of this multi-disciplinary course, we will examine the historical development of this mass incarceration, as well as racial inequities in America’s criminal justice system. We will then explore some of the medical issues in historical and contemporary U.S. carceral settings, including: medical experimentation on prisoner populations, mental health and suicide, substance abuse, HIV and sexual health, pregnancy and labor conditions, foodborne illnesses, chronic disease, temperature-related medical emergencies, and aging in prisons. Please be advised that some readings for this seminar will refer to instances of violence, sexual assault, and medical trauma. Cross-list: MDHM 315.",,Standard Letter,Taught in English,"RACE, MEDICINE, AND MASS INCARCERATION IN THE UNITED STATES",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"RACE, MED & MASS INCARCERATION"
AAAS 318,318,Seminar,,3,AAAS,African & African Amer Studies,"Journey Towards Justice: Black Liberation & the Civil Rights Movement is an immersive course that explores the historical and contemporary struggles for racial justice in the U.S. Focused on the Civil Rights and Black Liberation Movements, students will examine key social, political, and cultural aspects of the fight for equality. The course includes a five-day trip to Alabama, visiting pivotal sites in Birmingham, Montgomery, and Selma, where students will engage with the legacies of the movements and their ongoing impact on today's criminal justice system and society. Through interdisciplinary approaches, the course connects past and present struggles for justice. Instructor Permission Required.Cross-list: SOCI 318.",Distribution Group II,Standard Letter,Taught in English,JOURNEY TOWARDS JUSTICE: BLACK LIBERATION AND THE CIVIL RIGHTS MOVEMENT,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,JOURNEY TOWARDS JUSTICE
AAAS 323,323,Lecture,,3,AAAS,African & African Amer Studies,Provides students with a deeper understanding of the history of Atlantic Africa by researching key topics based on primary and secondary sources. Cross-list: HIST 323.,Distribution Group I,Standard Letter,Taught in English,HISTORY OF ATLANTIC AFRICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ATLANTIC AFRICA
AAAS 324,324,Lecture,,3,AAAS,African & African Amer Studies,"From the Slavery to Hip Hop: Linguistic liberation in the African Diaspora examines diverse
linguistic invocations of the quest for freedom in countries where African slaves were imported or in African nations that were once colonized by European countries. Discourse analyses and
Conversation Analyses of songs, sermons, speeches, radio and television broadcasts, depictions of Black people in films, and writings that promote human rights, equal opportunities and unbiased justice will provide the basis for original student research projects. Cross-list: LING 324.",Distribution Group II,Standard Letter,Taught in English,FROM SLAVERY TO HIP HOP: LINGUISTIC LIBERATION IN THE AFRICAN DIASPORA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FROM SLAVERY TO HIP HOP
AAAS 348,348,Lecture,,3,AAAS,African & African Amer Studies,"This course will focus upon the history and conflict of Christianity and Islam in Africa, with emphasis placed upon indigenous African developments, cultural and artistic themes, and conversion narratives as well as exploring the co-existence and conflict of the two major faiths of the continent. Cross-list: RELI 348.",Distribution Group I,Standard Letter,Taught in English,CHRISTIANITY AND ISLAM IN AFRICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,CHRISTIANITY & ISLAM IN AFRICA
AAAS 349,349,Seminar,,3,AAAS,African & African Amer Studies,"Russia’s full-scale invasion of Ukraine in 2022 sparked an exodus in Ukraine. However, Black and Asian students seeking refuge onto exiting trains or buses were denied entry or kicked off. Many were shocked to learn that Black people lived in Ukraine. However, Black people have made Central and Eastern European societies their home for centuries. For instance, Alexander Pushkin, one of the most celebrated figures in Russian literature, has African roots. This course explores the experiences and lives of Black people behind what was known as the “Iron Curtain”—representing the present-day countries of Albania, Armenia, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, East Germany, Estonia, Georgia, Hungary, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Moldova, Montenegro, North Macedonia, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Tajikistan, Turkmenistan, Ukraine, and Uzbekistan. We will learn about why Black people migrated to this part of the world, their intellectual, economic, and cultural contributions to those spaces, what they learned and encountered during their time there, and how we might redefine and reconceptualize our understandings of Black life, black political and economic thought, blackness, gender, and race through engaging with those experiences. Cross-list: HIST 349.",,Standard Letter,Taught in English,BLACK LIFE BEHIND THE IRON CURTAIN,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLK LIFE BHND THE IRON CURTAIN
AAAS 355,355,Seminar,,3,AAAS,African & African Amer Studies,"In this course, students will explore the history, literature, art, and cinema of Haiti. Students will learn to evaluate the Haitian experience in a variety of geographical and cultural settings and go beyond media’s stereotypical portrayal of the island. Cross-list: FREN 354.",Distribution Group I,Standard Letter,Taught in English,VOICES OF HAITI,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,VOICES OF HAITI
AAAS 357,357,Seminar,,3,AAAS,African & African Amer Studies,"This course examines the relationship between indigenous spirituality and mental health in Francophone Africa, focusing on traditional healing, modern psychiatry, and their interactions through engaging readings, films, and discussions. Cross-list: FREN 357.",Distribution Group I,Standard Letter,Taught in English,"SPIRITS, SCIENCE, AND MENTAL HEALTH IN AFRICA",Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"SPIRITS, SCIENCE, & HEALTH"
AAAS 366,366,Seminar,,3,AAAS,African & African Amer Studies,"Citations can be a radical form of collective activism and liberation. Who we cite builds archives and informs the way we tell histories. In this class, we will look at moments when radical Black thought slip into an artist’s studio space and informs their work. In this class, students will have the opportunity to interact with visual and performance artists. We will take field trips into the studio spaces of Houston-based artists in order to ask questions about who they cite and why. Additionally, we will discuss how those citations of radical Black thought are visible within their art-making. Over the course of the semester, we will pair black contemporary artists with core readings in black studies and underline citational practices between the fields of Black studies and art history. Through this unique case-study-based pairing, students will learn about the methods, materials, and theoretical throughlines within the work of formative visual and performance artists while also becoming familiar with different concepts within the interdisciplinary field of black studies. Cross-list: HART 366.",Distribution Group I,Standard Letter,Taught in English,RADICAL BLACK THOUGHT IN THE STUDIO: ARTISTS CITING BLACK STUDIES,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RADICAL BLACK THOUGHT IN ART
AAAS 396,396,Lecture,,3,AAAS,African & African Amer Studies,"Citizenship in the United States has been, since the founding, confounded by racial difference. Courts have often served as the sites where the racialized meanings of American citizenship have been forged. This class explores this process through a series of racially charged trials, stretching from 1800 to 2020. Cross-list: HIST 396.",Distribution Group I,Standard Letter,Taught in English,RACE ON TRIAL FROM THE AMERICAN REVOLUTION TO GEORGE FLOYD,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RACE ON TRIAL
AAAS 398,398,Seminar,,3,AAAS,African & African Amer Studies,"This course studies how twentieth and twenty-first century reconstructions of slavery in American literature and film engage contemporary anxieties regarding race, gender, sexuality, and national identity. These neo-slave narratives often critique modernity; challenge how we think about history, evidence, memory, and trauma; and trouble narrative conventions. Cross-list: ENGL 398.",,Standard Letter,Taught in English,SLAVERY IN 20TH AND 21ST CENTURY FILM AND FICTION,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SLAVERY IN FILM & FICTION
AAAS 413,413,Seminar,,3,AAAS,African & African Amer Studies,"This course explores the mythology of the black woman’s body in the French/Francophone imaginary, namely in the literary rewriting of the ""primitive"" in the long 19th century. Students will examine how this eroticized body bears traces of its social, political and cultural codification and symbolizes anxieties born out of the colonial encounter.  Effective May 15, 2019, this course does not carry D1 credit. Taught in French. Cross-list: FREN 413. Recommended Prerequisite(s): Completion of one 300-level course or permission of instructor.",,Standard Letter,Taught in French,BLACK VENUS/VÉNUS NOIRE: REPRESENTATIONS OF BLACK WOMEN IN THE LONG 19TH CENTURY,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BLACK VENUS/VÉNUS NOIRE
AAAS 414,414,Seminar,,3,AAAS,African & African Amer Studies,"This course examines the carnal violence and brutality associated with sex, gender, and race in folktales and fairy tales in French from the Americas. In so doing, this course will also put European and African folklore in conversation with the New World’s oral traditions. Effective May 15, 2021, this course does not carry D1 credit. Taught in French. Cross-list: FREN 414. Recommended Prerequisite(s): Completion of one 300-level course or permission of instructor.",,Standard Letter,Taught in French,SEX AND RACE IN THE FRENCH ATLANTIC,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SEX AND RACE - FRENCH ATLANTIC
AAAS 426,426,Seminar,,3,AAAS,African & African Amer Studies,"Analysis of the religious imagination and gender issues in postcolonial literature in Africa focusing on Islam, Christianity, indigenous religions and African Initiated Churches.  Religious and gender issues addressed include identity crises, power, clash of cultures, modernity, cosmology, community, and socio-religious conflicts in a postcolonial world. Cross-list: RELI 426.",Distribution Group I,Standard Letter,Taught in English,RELIGION AND LITERATURE IN AFRICA,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RELI AND LITERATURE IN AFRICA
AAAS 510,510,Seminar,,3,AAAS,African & African Amer Studies,"This is the core course for the Certificate in African and African American Studies. It will provide an introduction to cross- and multi-disciplinary approaches to the histories, cultures and experiences of African and African Diasporic people, while also introducing students to the work of Rice faculty working in the field.",,Standard Letter,Taught in English,INTRODUCTION TO AFRICAN AND AFRICAN AMERICAN STUDIES,Must be enrolled in one of the following Level(s): Graduate,INTRO TO DIASPORIC STUDIES
AAAS 524,524,Seminar,,3,AAAS,African & African Amer Studies,"This graduate seminar considers the history and historiography of slavery comparatively in the era of Atlantic-racial enslavement. Considering slavery through the lens of sovereignty and political claims, this course traces slavery in Africa, the Mediterranean, and the Americas across time and space. It seeks to engage slavery's political history while analyzing key African and African American Studies theoretical interventions in relationship to the material histories of racial slavery. This study questions the extent to which scholars have engaged the archive of slavery sufficiently in their theorizations of Blackness and Black Study. Cross-list: HIST 524.",,Standard Letter,Taught in English,COMPARATIVE HISTORIES OF SLAVERY AND FREEDOM IN THE ERA OF RACIAL SLAVERY,Must be enrolled in one of the following Level(s): Graduate,COMPARATIVE HISTORIES
AAAS 572,572,Seminar,,3,AAAS,African & African Amer Studies,"This course historicizes Black archive studies and its theoretical development across literary studies. Inspired by Schomburg’s call “to dig up our past,” it explores how black writers, collectors, and librarians across the twentieth-century resisted long-standing efforts to bury, silence, and overwrite black experience and their contributions. Cross-list: ENGL 572.",,Standard Letter,Taught in English,BLACK ARCHIVES IN THEORY AND PRACTICE,Must be enrolled in one of the following Level(s): Graduate,BLACK IN THE STACKS
AAAS 600,600,Research,,0,AAAS,African & African Amer Studies,Through readings and discussions the colloquium highlights key issues related to African and African American studies for graduate students preparing to conduct research in the field.  Repeatable for Credit.,,Satisfactory/Unsatisfactory,Taught in English,AFRICAN AND AFRICAN AMERICAN STUDIES COLLOQUIUM,Must be enrolled in one of the following Level(s): Graduate,AF & AFAM STUDIES COLLOQUIUM
